"Entity Type","Entity Name","Year","Ag & Water Pump","Commercial Building","Commercial Other","Industry","Mining & Construction","Residential","Total Usage"
"Energy Service Provider","Liberty Power Holdings LLC","2012","       0.000000","       0.017255","       0.003743","       0.001755","       0.000167","       0.020248","       0.043168"
"Energy Service Provider","Liberty Power Holdings LLC","2013","       0.000000","       0.010522","       0.003657","       0.000837","       0.000141","       0.012519","       0.027676"
"Investor owned utility","Pacific Gas and Electric Company","2010","      34.653102","     878.097588","      49.645298","    1517.991820","      53.407344","    2051.717157","    4585.512309"
"Investor owned utility","Pacific Gas and Electric Company","2011","      37.122481","     909.025842","      53.138883","    1599.081065","      49.802161","    2123.864854","    4772.035286"
"Investor owned utility","Pacific Gas and Electric Company","2012","      36.993811","     887.097698","      55.715167","    1686.071010","      25.032943","    2000.405766","    4691.316395"
"Investor owned utility","Pacific Gas and Electric Company","2013","      38.956107","     900.674831","      54.804032","    1683.722901","      19.657697","    2045.218940","    4743.034508"
"Investor owned utility","Pacific Gas and Electric Company","2014","      34.081596","     818.267307","      51.891813","    1760.637609","      56.375403","    1665.154231","    4386.407959"
"Investor owned utility","Pacific Gas and Electric Company","2015","      34.473832","     823.969096","      52.231987","    1751.584728","      56.187360","    1689.897545","    4408.344548"
"Investor owned utility","Pacific Gas and Electric Company","2016","      36.091403","     854.572366","      56.277823","    1797.552409","      69.707912","    1745.525771","    4559.727684"
"Investor owned utility","San Diego Gas and Electric Company","2010","       4.013767","     163.459737","      22.466549","      24.673348","       3.700995","     337.881818","     556.196214"
"Investor owned utility","San Diego Gas and Electric Company","2011","       4.443822","     156.336539","      16.516725","      21.169590","       3.402721","     326.910505","     528.779902"
"Investor owned utility","San Diego Gas and Electric Company","2012","       4.831806","     155.822779","      16.894453","      22.155963","       3.782335","     311.143539","     514.630875"
"Investor owned utility","San Diego Gas and Electric Company","2013","       4.041873","     162.281849","      17.317531","      21.736174","       3.925650","     318.269246","     527.572323"
"Investor owned utility","San Diego Gas and Electric Company","2014","       2.425122","     153.116827","      15.007571","      20.460825","       3.433500","     256.548716","     450.992561"
"Investor owned utility","San Diego Gas and Electric Company","2015","       2.415126","     153.193840","      17.165002","      20.832651","       3.519448","     255.613587","     452.739654"
"Investor owned utility","San Diego Gas and Electric Company","2016","       3.134443","     158.536517","      17.631777","      21.347452","       3.149995","     268.964313","     472.764497"
"Investor owned utility","Southern California Gas Company","2010","      66.034806","     898.847428","      48.441614","    1576.887461","     190.390062","    2531.562402","    5312.163773"
"Investor owned utility","Southern California Gas Company","2011","      62.889778","     909.210716","      48.301808","    1582.130701","     181.696105","    2563.360047","    5347.589155"
"Investor owned utility","Southern California Gas Company","2012","      70.698426","     924.834185","      49.550619","    1585.971324","     209.414808","    2383.944912","    5224.414274"
"Investor owned utility","Southern California Gas Company","2013","      72.976971","     920.125279","      49.636290","    1644.952745","     254.691501","    2471.386933","    5413.769719"
"Investor owned utility","Southern California Gas Company","2014","      72.223599","     845.065395","      48.335078","    1662.299300","     260.430446","    2010.345721","    4898.699539"
"Investor owned utility","Southern California Gas Company","2015","      73.401913","     854.158596","      49.087840","    1614.157482","     242.414444","    2038.131303","    4871.351578"
"Investor owned utility","Southern California Gas Company","2016","      77.070246","     896.649426","      56.610764","    1720.056256","     236.793253","    2136.023398","    5123.203343"
"Publicly owned utility","City of Coalinga","2013","       0.000000","       0.175564","       0.000000","       0.000000","       0.000000","       0.240979","       0.416543"
"Publicly owned utility","City of Coalinga","2014","       0.000000","       0.885111","       0.000000","       0.000000","       0.000000","       1.356535","       2.241646"
"Publicly owned utility","City of Coalinga","2015","       0.000000","       0.679844","       0.000000","       0.000000","       0.000000","       0.829270","       1.509114"
"Publicly owned utility","City of Susanville","2015","       0.000307","       0.799927","       0.013001","       0.001152","       0.000000","       0.714027","       1.528414"
"Publicly owned utility","City of Susanville","2016","       0.000315","       1.067959","       0.013433","       0.001397","       0.000000","       1.029439","       2.112543"
"Publicly owned utility","Long Beach Gas Department","2010","       0.000000","      25.789368","       2.636187","       8.477396","       0.000000","      54.211990","      91.114941"
"Publicly owned utility","Long Beach Gas Department","2011","       0.000000","      27.026921","       2.644553","       5.017393","       0.000000","      56.750818","      91.439685"
"Publicly owned utility","Long Beach Gas Department","2012","       0.000000","      26.070233","       1.711274","       5.364059","       0.000000","      52.508949","      85.654515"
"Publicly owned utility","Long Beach Gas Department","2013","       0.013551","      26.675423","       1.263817","       5.863065","       0.037141","      52.621155","      86.474152"
"Publicly owned utility","Long Beach Gas Department","2014","       0.095253","      22.083289","       2.860030","       6.052559","       0.312757","      42.748329","      74.152217"
"Publicly owned utility","Long Beach Gas Department","2015","       0.093719","      22.438684","       3.371087","       5.905928","       0.289339","      44.430571","      76.529328"
"Publicly owned utility","Long Beach Gas Department","2016","       0.112078","      23.161385","       4.245055","       6.733195","       2.087763","      44.832950","      81.172426"
"Publicly owned utility","Palo Alto, City of, Utilities Department","2010","       0.123151","      11.437796","       0.262657","       2.343191","       0.198182","      11.379243","      25.744220"
"Publicly owned utility","Palo Alto, City of, Utilities Department","2011","       0.105716","      12.458065","       0.189901","       2.408418","       0.232985","      13.574690","      28.969775"
"Publicly owned utility","Palo Alto, City of, Utilities Department","2012","       0.108029","      13.936361","       0.276532","       2.896113","       0.241782","      12.401091","      29.859908"
"Publicly owned utility","Palo Alto, City of, Utilities Department","2013","       0.082693","      12.258064","       0.491453","       1.657723","       0.205837","      11.014221","      25.709991"
"Publicly owned utility","Palo Alto, City of, Utilities Department","2014","       0.055285","      13.811431","       0.566826","       3.062846","       0.233295","       8.710953","      26.440636"
"Publicly owned utility","Palo Alto, City of, Utilities Department","2015","       0.034543","      13.083909","       0.784643","       2.888733","       0.215228","       8.713158","      25.720214"
"Publicly owned utility","Palo Alto, City of, Utilities Department","2016","       0.061855","      13.729176","       0.776943","       2.975384","       0.133277","       8.979489","      26.656124"
"Publicly owned utility","Pittsburg, City of (dba Island Energy on Mare Island)","2012","       0.000000","       0.174964","       0.013480","       0.003514","       0.000475","       0.071474","       0.263907"
"Publicly owned utility","Pittsburg, City of (dba Island Energy on Mare Island)","2013","       0.000000","       0.190026","       0.008229","       0.022016","       0.000320","       0.085402","       0.305993"
"Publicly owned utility","Pittsburg, City of (dba Island Energy on Mare Island)","2014","       0.000000","       0.219727","       0.005317","       0.035109","       0.000704","       0.098628","       0.359485"
"Publicly owned utility","Pittsburg, City of (dba Island Energy on Mare Island)","2015","       0.000000","       0.226369","       0.002239","       0.059676","       0.000000","       0.129584","       0.417868"
"Publicly owned utility","Pittsburg, City of (dba Island Energy on Mare Island)","2016","       0.000000","       0.252222","       0.005815","       0.007778","       0.000067","       0.128609","       0.394491"
"Western Area Power Agency","Gas Producer","2010","       0.000000","       0.000000","       0.000000","       0.000000","    1944.188113","       0.000000","    1944.188113"
"Western Area Power Agency","Gas Producer","2011","       0.000000","       0.000000","       0.000000","       0.000000","    1995.364585","       0.000000","    1995.364585"
"Western Area Power Agency","Gas Producer","2012","       0.000000","       0.000000","       0.000000","       0.000000","    1931.096949","       0.000000","    1931.096949"
"Western Area Power Agency","Gas Producer","2013","       0.000000","       0.000000","       0.000000","       0.000000","    2265.585900","       0.000000","    2265.585900"
"Western Area Power Agency","Gas Producer","2014","       0.000000","       0.000000","       0.000000","       0.000000","    2285.477989","       0.000000","    2285.477989"
"Western Area Power Agency","Gas Producer","2015","       0.000000","       0.000000","       0.000000","       0.000000","    2285.477989","       0.000000","    2285.477989"
"Western Area Power Agency","Gas Producer","2016","       0.000000","       0.000000","       0.000000","       0.000000","    2337.566360","       0.000000","    2337.566360"
"Western Area Power Agency","Southwest Gas Corporation","2010","       0.000000","      31.190567","       0.000000","       0.000000","       0.000000","       0.000000","      31.190567"
"Western Area Power Agency","Southwest Gas Corporation","2010","       0.087388","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","       0.087388"
"Western Area Power Agency","Southwest Gas Corporation","2010","       0.000000","       0.000000","       0.000000","       2.443296","       0.000000","       0.000000","       2.443296"
"Western Area Power Agency","Southwest Gas Corporation","2010","       0.000000","       0.000000","       0.000000","       0.000000","       1.052816","       0.000000","       1.052816"
"Western Area Power Agency","Southwest Gas Corporation","2010","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","      98.700778","      98.700778"
"Western Area Power Agency","Southwest Gas Corporation","2010","       0.000000","       0.000000","       6.055789","       0.000000","       0.000000","       0.000000","       6.055789"
"Western Area Power Agency","Southwest Gas Corporation","2011","       0.000000","       0.000000","       7.969793","       0.000000","       0.000000","       0.000000","       7.969793"
"Western Area Power Agency","Southwest Gas Corporation","2011","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","     100.596766","     100.596766"
"Western Area Power Agency","Southwest Gas Corporation","2011","       0.000000","       0.000000","       0.000000","       0.000000","       0.931737","       0.000000","       0.931737"
"Western Area Power Agency","Southwest Gas Corporation","2011","       0.000000","       0.000000","       0.000000","       4.054247","       0.000000","       0.000000","       4.054247"
"Western Area Power Agency","Southwest Gas Corporation","2011","       0.080871","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","       0.080871"
"Western Area Power Agency","Southwest Gas Corporation","2011","       0.000000","      31.805211","       0.000000","       0.000000","       0.000000","       0.000000","      31.805211"
"Western Area Power Agency","Southwest Gas Corporation","2012","       0.000000","      29.701974","       0.000000","       0.000000","       0.000000","       0.000000","      29.701974"
"Western Area Power Agency","Southwest Gas Corporation","2012","       0.068371","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","       0.068371"
"Western Area Power Agency","Southwest Gas Corporation","2012","       0.000000","       0.000000","       0.000000","       4.087780","       0.000000","       0.000000","       4.087780"
"Western Area Power Agency","Southwest Gas Corporation","2012","       0.000000","       0.000000","       0.000000","       0.000000","       0.597062","       0.000000","       0.597062"
"Western Area Power Agency","Southwest Gas Corporation","2012","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","      93.704399","      93.704399"
"Western Area Power Agency","Southwest Gas Corporation","2012","       0.000000","       0.000000","       5.596741","       0.000000","       0.000000","       0.000000","       5.596741"
"Western Area Power Agency","Southwest Gas Corporation","2013","       0.000000","       0.000000","       4.159814","       0.000000","       0.000000","       0.000000","       4.159814"
"Western Area Power Agency","Southwest Gas Corporation","2013","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","      98.638885","      98.638885"
"Western Area Power Agency","Southwest Gas Corporation","2013","       0.000000","       0.000000","       0.000000","       0.000000","       0.642820","       0.000000","       0.642820"
"Western Area Power Agency","Southwest Gas Corporation","2013","       0.000000","       0.000000","       0.000000","       5.314247","       0.000000","       0.000000","       5.314247"
"Western Area Power Agency","Southwest Gas Corporation","2013","       0.069101","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","       0.069101"
"Western Area Power Agency","Southwest Gas Corporation","2013","       0.000000","      30.914988","       0.000000","       0.000000","       0.000000","       0.000000","      30.914988"
"Western Area Power Agency","Southwest Gas Corporation","2014","       0.000000","      28.793589","       0.000000","       0.000000","       0.000000","       0.000000","      28.793589"
"Western Area Power Agency","Southwest Gas Corporation","2014","       0.063290","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","       0.063290"
"Western Area Power Agency","Southwest Gas Corporation","2014","       0.000000","       0.000000","       0.000000","       5.221635","       0.000000","       0.000000","       5.221635"
"Western Area Power Agency","Southwest Gas Corporation","2014","       0.000000","       0.000000","       0.000000","       0.000000","       0.521685","       0.000000","       0.521685"
"Western Area Power Agency","Southwest Gas Corporation","2014","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","      82.506610","      82.506610"
"Western Area Power Agency","Southwest Gas Corporation","2014","       0.000000","       0.000000","       4.311247","       0.000000","       0.000000","       0.000000","       4.311247"
"Western Area Power Agency","Southwest Gas Corporation","2015","       0.000000","       0.000000","       4.756923","       0.000000","       0.000000","       0.000000","       4.756923"
"Western Area Power Agency","Southwest Gas Corporation","2015","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","      88.105113","      88.105113"
"Western Area Power Agency","Southwest Gas Corporation","2015","       0.000000","       0.000000","       0.000000","       0.000000","       0.569690","       0.000000","       0.569690"
"Western Area Power Agency","Southwest Gas Corporation","2015","       0.000000","       0.000000","       0.000000","       5.442999","       0.000000","       0.000000","       5.442999"
"Western Area Power Agency","Southwest Gas Corporation","2015","       0.073441","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","       0.073441"
"Western Area Power Agency","Southwest Gas Corporation","2015","       0.000000","      29.868232","       0.000000","       0.000000","       0.000000","       0.000000","      29.868232"
"Western Area Power Agency","Southwest Gas Corporation","2016","       0.000000","      30.162979","       0.000000","       0.000000","       0.000000","       0.000000","      30.162979"
"Western Area Power Agency","Southwest Gas Corporation","2016","       0.068292","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","       0.068292"
"Western Area Power Agency","Southwest Gas Corporation","2016","       0.000000","       0.000000","       0.000000","       6.319694","       0.000000","       0.000000","       6.319694"
"Western Area Power Agency","Southwest Gas Corporation","2016","       0.000000","       0.000000","       0.000000","       0.000000","       0.610493","       0.000000","       0.610493"
"Western Area Power Agency","Southwest Gas Corporation","2016","       0.000000","       0.000000","       0.000000","       0.000000","       0.000000","      92.026514","      92.026514"
"Western Area Power Agency","Southwest Gas Corporation","2016","       0.000000","       0.000000","       5.918896","       0.000000","       0.000000","       0.000000","       5.918896"
